id_ponto,id_trilha,tipo,declividade,solo,sinais_erosao,obstaculos_riscos,nivel_perigo,escala_perigo,longitude,latitude,trilha,perigo,critico,familia_solo,classe_erosao,risco_queda,risco_escorregamento,tronco_galho,area_declive,curso_dagua,n_riscos,instab_terreno,queda_arvore,decliv_alta,tem_evidencia,origem_perigo,tipo_evidencia,grupo_erosao,tem_erosao,tem_evidencia_processo,ordem_declividade,ordem_erosao,ordem_origem,ordem_evidencia
T1P013,T01,Declive,Baixa,Argiloso,,Risco de queda,Alto,4,-43.45658734727982,-22.935397498386735,Pau da Fome,4 Alto,True,Argiloso,Sem sinal erosivo registrado,True,False,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,2,1,3,2
T1P014,T01,Drenagem,Baixa,Misto (Arenoso/argiloso),"Margem do rio sofre erosão, principalmente laminar",Rio,Alto,4,-43.457689236325855,-22.93582747083642,Pau da Fome,4 Alto,True,Misto,Laminar,False,False,False,False,True,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Erosão laminar,True,True,2,2,3,2
T1P015,T01,Passagem,Baixa,Arenoso,,,Baixo,2,-43.45766975223811,-22.936548408984624,Pau da Fome,2 Baixo,False,Arenoso,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,2,1,1,1
T1P016,T01,Obstaculo,Baixa,Misto (Arenoso/argiloso),,Tronco caido no meio da trilha,Médio,3,-43.459255780442646,-22.936798601051688,Pau da Fome,3 Médio,False,Misto,Sem sinal erosivo registrado,False,False,True,False,False,1,False,True,False,True,Evidências de instabilidade,Só árvore derrubada (efeito da instabilidade),Sem sinal erosivo registrado,False,True,2,1,3,4
T1P017,T01,Erosão,Baixa,Argiloso saturado,,,Baixo,2,-43.46178149996848,-22.93741426028296,Pau da Fome,2 Baixo,False,Argiloso,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,2,1,1,1
T1P018,T01,Obstaculo,Média,Arenoso,,Troncos e cipós caidos na trilha,Alto,4,-43.46235845719181,-22.938233217575227,Pau da Fome,4 Alto,True,Arenoso,Sem sinal erosivo registrado,False,False,True,False,False,1,False,True,False,True,Evidências de instabilidade,Só árvore derrubada (efeito da instabilidade),Sem sinal erosivo registrado,False,True,3,1,3,4
T1P019,T01,Erosão,Alta,Arenoso,Erosão Laminar,Solo escorregadio,Médio,3,-43.46368816068045,-22.93873663170982,Pau da Fome,3 Médio,False,Arenoso,Laminar,False,True,False,False,False,1,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Erosão laminar,True,True,4,2,4,2
T1P020,T01,Declive,Média,Misto (Arenoso/argiloso),,,Médio,3,-43.46403360871159,-22.93961413478152,Pau da Fome,3 Médio,False,Misto,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,3,1,1,1
T1P021,T01,Declive,Baixa,Arenoso,,Risco de queda,Alto,4,-43.4655963292644,-22.939727779977428,Pau da Fome,4 Alto,True,Arenoso,Sem sinal erosivo registrado,True,False,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,2,1,3,2
T1P022,T01,Declive,Média,Arenoso,,"Solo escorregadio, risco de queda",Alto,4,-43.46754936004927,-22.939149205912333,Pau da Fome,4 Alto,True,Arenoso,Sem sinal erosivo registrado,True,True,False,False,False,2,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,3,1,3,2
T1P023,T01,Passagem,Baixa,Argiloso,,,Baixo,2,-43.46806476854422,-22.93880409920037,Pau da Fome,2 Baixo,False,Argiloso,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,2,1,1,1
T1P024,T01,Declive,Alta,Arenoso (areia fina),Solo não compactado na borda da trilha,Risco de queda na área de declive,Muito Alto,5,-43.469019810447904,-22.938410825083917,Pau da Fome,5 Muito Alto,True,Arenoso,Solo não compactado,True,False,False,True,False,2,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Outros processos,True,True,4,5,4,2
T1P025,T01,Declive,Média,Arenoso (areia fina),Foi formado um caminho alternativo do lado direito da trilha devido a erosão em estágios mais avançados,Área de declive do lado esquerdo,Médio,3,-43.470158846462766,-22.938361017211303,Pau da Fome,3 Médio,False,Arenoso,Processo não especificado,False,False,False,True,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Outros processos,True,True,3,5,3,2
T1P026,T01,Deslizamento,Baixa,Misto (Arenoso/argiloso),,Solo escorregadio em área de declive,Alto,4,-43.47055412610081,-22.93722443516237,Pau da Fome,4 Alto,True,Misto,Sem sinal erosivo registrado,False,True,False,True,False,2,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,2,1,3,2
T1P027,T01,Declive,Baixa,Arenoso,Rochas e raízes expostas no solo,Risco de queda,Alto,4,-43.4706883373421,-22.93575411914643,Pau da Fome,4 Alto,True,Arenoso,Exposição de rochas e raízes,True,False,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Outros processos,True,True,2,5,3,2
T1P028,T01,Drenagem,Baixa,Arenoso,Solo removido devido ao fluxo de água,,Alto,4,-43.47201016233036,-22.935548834946438,Pau da Fome,4 Alto,True,Arenoso,Remoção pelo fluxo de água,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Outros processos,True,True,2,5,1,1
T1P029,T01,Drenagem,Baixa,Misto (Arenoso/argiloso),Erosão laminar e em sulco,Risco de escorregamento no solo molhado,Médio,3,-43.475055742232314,-22.935827589808472,Pau da Fome,3 Médio,False,Misto,Laminar e sulco,False,True,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Laminar evoluindo p/ sulco,True,True,2,3,3,2
T1P030,T01,Drenagem,Baixa,Misto (Arenoso/argiloso),Blocos expostos no solo erodido pela água,Risco de escorregamento no solo molhado,Médio,3,-43.47562499479328,-22.93612863884288,Pau da Fome,3 Médio,False,Misto,Exposição de rochas e raízes,False,True,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Outros processos,True,True,2,5,3,2
T1P031,T01,Passagem,Média,Arenoso,Erosão laminar com erosão em sulco em estágio inicial,,Baixo,2,-43.479714746224744,-22.93532724708961,Pau da Fome,2 Baixo,False,Arenoso,Laminar e sulco,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Laminar evoluindo p/ sulco,True,True,3,3,1,1
T1P032,T01,Obstaculo,Média,Arenoso,Erosão laminar,um tronco grande caido no meio da trilha,Médio,3,-43.48079055378005,-22.93445080688018,Pau da Fome,3 Médio,False,Arenoso,Laminar,False,False,True,False,False,1,False,True,False,True,Evidências de instabilidade,Só árvore derrubada (efeito da instabilidade),Erosão laminar,True,True,3,2,3,4
T1P033,T01,Declive,Muito Alta,Arenoso,Erosão laminar e em sulco,Alta declividade no solo escorregadio,Muito Alto,5,-43.47796366556573,-22.93364179628381,Pau da Fome,5 Muito Alto,True,Arenoso,Laminar e sulco,False,True,False,True,False,2,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Laminar evoluindo p/ sulco,True,True,5,3,4,2
T1P034,T01,Obstaculo,Baixa,Arenoso,,Tronco grande caido no meio da trilha,Médio,3,-43.47628363599213,-22.932891966127222,Pau da Fome,3 Médio,False,Arenoso,Sem sinal erosivo registrado,False,False,True,False,False,1,False,True,False,True,Evidências de instabilidade,Só árvore derrubada (efeito da instabilidade),Sem sinal erosivo registrado,False,True,2,1,3,4
T1P035,T01,Pico Pedra Branca,Média,Arenoso,,,Muito Baixo,1,-43.472943826904874,-22.931811711998648,Pau da Fome,1 Muito Baixo,False,Arenoso,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,3,1,1,1
T2P001,T02,Passagem,Muito Baixa,Misto (Arenoso/argiloso),,,Muito Baixo,1,-43.41790262139028,-22.962705348210964,Pedra Negra,1 Muito Baixo,False,Misto,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,1,1,1,1
T2P002,T02,Obstaculo,Baixa,Arenoso,Piso muito irregular evidenciando processos erosivos neste trecho,Muitos galhos e um tronco caidos no meio da trilha,Médio,3,-43.41780023956499,-22.96240023029512,Pedra Negra,3 Médio,False,Arenoso,Processo não especificado,False,False,True,False,False,1,False,True,False,True,Evidências de instabilidade,Só árvore derrubada (efeito da instabilidade),Outros processos,True,True,2,5,3,4
T2P003,T02,Deslizamento,Baixa,Argiloso,,Risco de queda devido a largura da trilha juntamente com o solo escorregadio e instável,Médio,3,-43.417682104657,-22.96159006937218,Pedra Negra,3 Médio,False,Argiloso,Sem sinal erosivo registrado,True,True,False,False,False,2,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,2,1,3,2
T2P004,T02,Declive,Média,Arenoso,,Área de declive do lado esquerdo,Baixo,2,-43.418071640840566,-22.96062651855137,Pedra Negra,2 Baixo,False,Arenoso,Sem sinal erosivo registrado,False,False,False,True,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,3,1,3,2
T2P005,T02,Declive,Média,Misto (Arenoso/argiloso),,,Baixo,2,-43.41757333276666,-22.96004535198142,Pedra Negra,2 Baixo,False,Misto,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,3,1,1,1
T2P006,T02,Obstaculo,Baixa,Arenoso,,Galhos e troncos caidos no meio da trilha. Possibilidade de deslizamento em ambos os lados da trilha  por ser mnaterial solto em área de alta declividade,Médio,3,-43.41708578893498,-22.959364702298487,Pedra Negra,3 Médio,False,Arenoso,Sem sinal erosivo registrado,False,False,True,True,False,2,True,True,False,True,Evidências de instabilidade,Instabilidade do terreno + árvore derrubada,Sem sinal erosivo registrado,False,True,2,1,3,3
T2P007,T02,Passagem,Média,Arenoso,,"Galhos e folhagem soltas no solo irregular em declividade acentuada, risco de escorregamento",Baixo,2,-43.416538574194405,-22.958861293207892,Pedra Negra,2 Baixo,False,Arenoso,Sem sinal erosivo registrado,False,True,True,True,False,3,True,True,False,True,Evidências de instabilidade,Instabilidade do terreno + árvore derrubada,Sem sinal erosivo registrado,False,True,3,1,3,3
T2P008,T02,Declive,Média,Arenoso,,"Galhos e folhagem soltas no solo irregular em declividade acentuada, risco de escorregamento e em dias de chuva deslizamento",Baixo,2,-43.41607573538699,-22.958698395248927,Pedra Negra,2 Baixo,False,Arenoso,Sem sinal erosivo registrado,False,True,True,True,False,3,True,True,False,True,Evidências de instabilidade,Instabilidade do terreno + árvore derrubada,Sem sinal erosivo registrado,False,True,3,1,3,3
T2P009,T02,Passagem,Média,Arenoso,,Riisco de escorregamento devido a declividade,Baixo,2,-43.415700498936154,-22.958104225575976,Pedra Negra,2 Baixo,False,Arenoso,Sem sinal erosivo registrado,False,True,False,True,False,2,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,3,1,3,2
T2P010,T02,Declive,Alta,Misto (Arenoso/argiloso),Erosão laminar,,Alto,4,-43.415338852135676,-22.957992131100678,Pedra Negra,4 Alto,True,Misto,Laminar,False,False,False,False,False,0,False,False,True,False,Só declividade alta,Sem evidência registrada,Erosão laminar,True,True,4,2,2,1
T2P011,T02,Erosão,Alta,Misto (Arenoso/argiloso),Erosão laminar,"Na direita da trilha tem uma área de deslizamento com bastante material solto como galhos, troncos e folhagem, solo escorregadio e sem compactação. Alto risco de escorregamento e queda",Muito Alto,5,-43.41503815369306,-22.9579233260419,Pedra Negra,5 Muito Alto,True,Misto,Laminar,False,True,True,True,False,3,True,True,True,True,Declividade alta + instabilidade,Instabilidade do terreno + árvore derrubada,Erosão laminar,True,True,4,2,4,3
T2P012,T02,Passagem,Muito Alta,Arenoso,,,Muito Baixo,1,-43.413652871356476,-22.95715899978744,Pedra Negra,1 Muito Baixo,False,Arenoso,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,True,False,Só declividade alta,Sem evidência registrada,Sem sinal erosivo registrado,False,False,5,1,2,1
T2P013,T02,Declive,Alta,Arenoso,,Risco de escorregamento e queda devido ao solo escorregadio em declividade ascentuada em área de declive,Muito Alto,5,-43.413514421551696,-22.9581623972074,Pedra Negra,5 Muito Alto,True,Arenoso,Sem sinal erosivo registrado,False,True,False,True,False,2,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,4,1,4,2
T2P014,T02,Mata Fechada,Média,Misto (Arenoso/argiloso),,Risco de escorregamento e queda em área de mata fechada,Muito Alto,5,-43.413739871829286,-22.958426073811285,Pedra Negra,5 Muito Alto,True,Misto,Sem sinal erosivo registrado,False,True,False,False,False,1,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,3,1,3,2
T2P015,T02,Declive,Muito Alta,Arenoso,,Risco de escorregamento e queda em piso muito escorregadio e irregular,Muito Alto,5,-43.4138771282474,-22.958512808786843,Pedra Negra,5 Muito Alto,True,Arenoso,Sem sinal erosivo registrado,False,True,False,False,False,1,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,5,1,4,2
T3P001,T03,Passagem,Baixa,Arenoso,,,Muito Baixo,1,-43.50100519102901,-22.964467604472084,Morro dos Caboclos,1 Muito Baixo,False,Arenoso,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,2,1,1,1
T3P002,T03,Declive,Baixa,Arenoso,,,Baixo,2,-43.50156701176451,-22.96278886822121,Morro dos Caboclos,2 Baixo,False,Arenoso,Sem sinal erosivo registrado,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Sem sinal erosivo registrado,False,False,2,1,1,1
T3P003,T03,Declive,Baixa,Misto (Arenoso/argiloso),Erosão laminar evoluindo para sulco,,Baixo,2,-43.501338273282954,-22.960948928769113,Morro dos Caboclos,2 Baixo,False,Misto,Laminar e sulco,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Laminar evoluindo p/ sulco,True,True,2,3,1,1
T3P004,T03,Erosão,Baixa,Misto (Arenoso/argiloso),Erosão laminar evoluindo para sulco,,Baixo,2,-43.50176922930541,-22.960016642777024,Morro dos Caboclos,2 Baixo,False,Misto,Laminar e sulco,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Laminar evoluindo p/ sulco,True,True,2,3,1,1
T3P005,T03,Erosão,Alta,Arenoso,Erosão em sulco,risco de escorregamento,Alto,4,-43.50254451984103,-22.959506872327754,Morro dos Caboclos,4 Alto,True,Arenoso,Sulco,False,True,False,False,False,1,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Erosão em sulco,True,True,4,4,4,2
T3P006,T03,Erosão,Alta,Arenoso,Erosão em sulco,Risco de queda das árvores com raízes expostas para dentro da trilha,Médio,3,-43.50303332484823,-22.958973430405145,Morro dos Caboclos,3 Médio,False,Arenoso,Sulco,True,False,False,False,False,1,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Erosão em sulco,True,True,4,4,4,2
T3P007,T03,Erosão,Média,Arenoso,Erosão em sulco no piso irregular,,Médio,3,-43.50397929566255,-22.95872381047163,Morro dos Caboclos,3 Médio,False,Arenoso,Sulco,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Erosão em sulco,True,True,3,4,1,1
T3P008,T03,Declive,Baixa,Arenoso,,Risco de queda devido a largura da trilha e área de declive na lateral,Alto,4,-43.50517101318075,-22.95842758707792,Morro dos Caboclos,4 Alto,True,Arenoso,Sem sinal erosivo registrado,True,False,False,True,False,2,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,2,1,3,2
T3P009,T03,Drenagem,Baixa,Arenoso,Erosão laminar,,Baixo,2,-43.50695180634095,-22.957053798301637,Morro dos Caboclos,2 Baixo,False,Arenoso,Laminar,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Erosão laminar,True,True,2,2,1,1
T3P010,T03,Erosão,Alta,Misto (Arenoso/argiloso),Erosão em sulco formando uma trilha alternativa,,Médio,3,-43.50758433742008,-22.9568291557764,Morro dos Caboclos,3 Médio,False,Misto,Sulco,False,False,False,False,False,0,False,False,True,False,Só declividade alta,Sem evidência registrada,Erosão em sulco,True,True,4,4,2,1
T3P011,T03,Erosão,Alta,Arenoso,Erosão em sulco formando uma trilha alternativa,Risco de escorregamento devido a declividade acentuada e solo escorregadio,Alto,4,-43.5093527571724,-22.956580252376252,Morro dos Caboclos,4 Alto,True,Arenoso,Sulco,False,True,False,True,False,2,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Erosão em sulco,True,True,4,4,4,2
T3P012,T03,Erosão,Média,Arenoso,Erosão em sulco,,Médio,3,-43.51064502826978,-22.956229029318383,Morro dos Caboclos,3 Médio,False,Arenoso,Sulco,False,False,False,False,False,0,False,False,False,False,Sem evidência registrada,Sem evidência registrada,Erosão em sulco,True,True,3,4,1,1
T3P013,T03,Declive,Alta,Argiloso,Erosão em sulco,Risco de escorregamento,Médio,3,-43.511883025018435,-22.955492958476466,Morro dos Caboclos,3 Médio,False,Argiloso,Sulco,False,True,False,False,False,1,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Erosão em sulco,True,True,4,4,4,2
T3P014,T03,Declive,Alta,Argiloso,Erosão em silco se formando em cima das marcas de passagem de motos como nos demais pontos da trilha,,Médio,3,-43.511890210674856,-22.954836174895757,Morro dos Caboclos,3 Médio,False,Argiloso,Sulco,False,False,False,False,False,0,False,False,True,False,Só declividade alta,Sem evidência registrada,Erosão em sulco,True,True,4,4,2,1
T3P015,T03,Declive,Alta,Misto (Arenoso/argiloso),Erosão laminar evoluindo para sulcos devido a constante passagem de motos na trilha,,Médio,3,-43.51184455584916,-22.953836494382603,Morro dos Caboclos,3 Médio,False,Misto,Laminar e sulco,False,False,False,False,False,0,False,False,True,False,Só declividade alta,Sem evidência registrada,Laminar evoluindo p/ sulco,True,True,4,3,2,1
T3P016,T03,Erosão,Alta,Argiloso,Erosão laminar,,Baixo,2,-43.512848790503256,-22.95308424557382,Morro dos Caboclos,2 Baixo,False,Argiloso,Laminar,False,False,False,False,False,0,False,False,True,False,Só declividade alta,Sem evidência registrada,Erosão laminar,True,True,4,2,2,1
T3P017,T03,Declive,Baixa,Arenoso,,Risco de queda para a área de declive,Médio,3,-43.513941642184044,-22.952507514715812,Morro dos Caboclos,3 Médio,False,Arenoso,Sem sinal erosivo registrado,True,False,False,True,False,2,True,False,False,True,Evidências de instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,2,1,3,2
T3P018,T03,Mata Fechada,Muito Alta,Arenoso,,Risco de escorregamento e queda devido ao lsolo escorregadio em alta declividade,Muito Alto,5,-43.51467699985468,-22.95271006057415,Morro dos Caboclos,5 Muito Alto,True,Arenoso,Sem sinal erosivo registrado,False,True,False,True,False,2,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,5,1,4,2
T3P019,T03,Declive,Alta,Arenoso,,Alto risco de queda pois a trilha é muito estreita do lado de uma área de declive muito instável,Muito Alto,5,-43.515713823977386,-22.953118070331627,Morro dos Caboclos,5 Muito Alto,True,Arenoso,Sem sinal erosivo registrado,True,False,False,True,False,2,True,False,True,True,Declividade alta + instabilidade,Só instabilidade do terreno,Sem sinal erosivo registrado,False,True,4,1,4,2
T3P020,T03,Obstaculo,Média,Arenoso,,Possui um tronco caido no meio da trilha impossibilitando a passagem e alto risco de queda pois a área de declive muito instável,Muito Alto,5,-43.51631115330016,-22.954388448592045,Morro dos Caboclos,5 Muito Alto,True,Arenoso,Sem sinal erosivo registrado,True,False,True,True,False,3,True,True,False,True,Evidências de instabilidade,Instabilidade do terreno + árvore derrubada,Sem sinal erosivo registrado,False,True,3,1,3,3
